Port_ID,total_trades,profitable_trades,net_profit,total_capital,return_on_investment,profitability_rate,sharpe_ratio,max_drawdown,ranking_score
3956048468100538880,28,20,1373.56489,123238.17079999999,0.011145612443640719,0.7142857142857143,0.5344931768721239,0.0,0.3256425946375954
3986814617275053313,3554,2780,16337.46188064,1874361.0185148001,0.008716283426330228,0.7822172200337648,0.32983297494483554,0.014890821565722343,0.3026291922130564
3891020560590657281,437,283,2856.30056379,163834.4145645,0.017434069462039077,0.6475972540045767,0.43297270179032893,0.0,0.2878473443442544
4039279455324236544,327,181,1038.80741926,101634.5019,0.010221011564380973,0.5535168195718655,0.4724065210735467,0.0,0.2646247547120214
3768170840939476993,14,6,243.66889897,2775.560153,0.08779089104108492,0.42857142857142855,0.4402935244869371,0.0,0.25174648988524995
4017110277719148289,252,143,2899.93302141,615395.4144512,0.004712308465925302,0.5674603174603174,0.3948098287942153,0.0,0.2510849843833084
4039129759104249600,133,59,1264.28919972,39977.7842,0.03162479424560003,0.44360902255639095,0.5240163091700273,0.0,0.25053588629916274
4035430878731345664,89,43,2493.75041995,130569.5384,0.019099021490834953,0.48314606741573035,0.4723001296431519,0.0,0.24704345474968348
3998659472131949824,147,72,1449.32593976,471476.05092,0.003074018154118122,0.4897959183673469,0.3837456370407278,0.0,0.2249175101799969
3944658614777849089,45,20,2074.44997996,99562.15156,0.020835728712731323,0.4444444444444444,0.4120949243480336,0.0,0.2240866096880326
4029422834086627072,102,38,2799.90254984,215737.03283,0.012978312128944097,0.37254901960784315,0.5141448154277044,0.0,0.21978499381947147
4041860229502600193,97,38,2327.33599982,173806.662,0.013390372802971152,0.3917525773195876,0.4595685133138379,0.0,0.21479562497983234
4029749871687083265,856,367,3662.13654822,115505.10595,0.03170540832892072,0.4287383177570093,0.35408412222903696,0.0,0.21212048310447848
4017323550554338817,545,273,3134.7351025,160157.2227504,0.019572861271360743,0.5009174311926605,0.2134042012367492,0.0,0.2007852141136923
3977234346014419201,83,33,2427.29283086,59166.712085,0.04102463607193359,0.39759036144578314,0.30658838405122135,0.0,0.19700463967275264
3865845304835489536,882,451,1406.06618669,197878.2350777,0.00710571420923522,0.5113378684807256,0.24371295979643467,0.1143587022320116,0.19355036796399755
4036548677626662656,147,68,3296.87667987,586961.16148,0.005616856610336963,0.46258503401360546,0.24350673739383025,0.0,0.1897236003269825
4019895412775450368,571,242,2640.30025492,250633.20194600002,0.010534519107683363,0.4238178633975482,0.28495052317735425,0.0,0.18834927129780865
3983074113875692800,43,14,2424.82951996,89182.84576,0.02718941629745097,0.32558139534883723,0.3644614635036245,0.0,0.18144247782435646
4037179073830813185,73,31,2331.43490998,320791.80871,0.007267750755093774,0.4246575342465753,0.2422323937126495,0.0,0.17875083931854
3911997667197443328,64,30,605.72231024,97435.47094,0.00621665092184959,0.46875,0.1742222053901114,0.0,0.17795610144676213
4040843843196854529,59,19,2151.70406,218331.08006,0.009855234808570021,0.3220338983050847,0.3446004299410749,0.0,0.1694723494031684
4034786679304751616,321,123,2521.07586938,81684.49583,0.030863578746042678,0.38317757009345793,0.20854286570084132,0.0,0.1690072756666227
3819545518395756033,68,26,980.0631999599999,142075.8616,0.006898168266747994,0.38235294117647056,0.2163193920480466,0.0,0.16072902806924969
3936410995029308417,20,6,10681.514,596381.514,0.017910538387345118,0.3,0.3067508043179633,0.0,0.1585143762185307
4023616625178799873,827,339,2087.77119301,261018.8698393,0.007998545064176264,0.40991535671100365,0.253497594248295,0.23495046120174698,0.1533784977684559
4037717032428033792,317,102,1897.3229995,69318.06027,0.027371265036986874,0.3217665615141956,0.22246210486806173,0.0,0.15197089544266576
4030555430101054209,121,32,3358.38032001,502090.1818,0.006688799028035485,0.2644628099173554,0.3254337295631536,0.0,0.14710110849905153
3952087967771302912,172,58,1032.6052598600002,169503.08411,0.006091955584654053,0.3372093023255814,0.17417623762756257,0.0,0.13843482045704855
4037785885739608577,254,59,1934.5792352600001,70714.8480271,0.027357468611381483,0.23228346456692914,0.2235140751074162,0.0,0.12533084183611456
3943533600390906881,1759,964,2361.42457205,222606.062211,0.010608087437491677,0.5480386583285958,0.42820093667742776,1.4246522776990167,0.11182979203915933
4013978721149559808,294,61,3778.87822398,120213.629898,0.031434690285838125,0.20748299319727892,0.1624651966223717,0.0,0.10731181339799326
4023697433751327232,42,4,2408.22399998,75586.8848,0.03186034199387987,0.09523809523809523,0.30379777100044786,0.0,0.10207511956907009
4038768306117031680,100,22,1741.91425988,105346.00218,0.016535171946095013,0.22,0.13570789120275428,0.0,0.09975564701898887
4037073643537925121,446,83,1540.4004996200001,59401.93578,0.02593182325446432,0.1860986547085202,0.1646014102300015,0.0,0.0991226077603421
4033639786957934336,149,25,2848.14185731,402568.45661,0.00707492554507126,0.16778523489932887,0.21513559310572403,0.0,0.09619265930897197
4023697881318718465,70,6,3151.95061998,95292.77542,0.03307649091012276,0.08571428571428572,0.27786199639804005,0.0,0.09451728135794282
4004713168329653760,27,2,1667.19861,51922.30061,0.03210949034255437,0.07407407407407407,0.2826956080921406,0.0,0.0916051399776721
4030392204221219329,85,8,1347.75800996,43976.05401,0.03064754308455062,0.09411764705882353,0.20192088287574644,0.0,0.08087848792661659
3981810242465907713,105,12,2836.47282999,256545.09857,0.011056429632843092,0.11428571428571428,0.19801811017126758,0.0,0.07831190817310504
3944088772635000577,6063,2774,7581.4919834,1069559.0582283,0.007088427632933676,0.4575292759360053,0.29916574870297347,1.3092953369496017,0.0689977698796096
